,max_iters,problem_size,algorithm,problem_type,fitness,processing_time
309,850,50,mimic,TravellingSales,361.3418814771588,0.30777502059936523
310,1050,50,random_hill_climb,TravellingSales,296.7439694585101,0.0688638687133789
311,1050,50,simulated_annealing,TravellingSales,299.2488464972864,0.007747173309326172
312,1050,50,genetic_alg,TravellingSales,306.48991016872753,2.253751039505005
313,1050,50,mimic,TravellingSales,361.3418814771588,0.30482006072998047
314,1250,50,random_hill_climb,TravellingSales,296.7439694585101,0.07146120071411133
315,1250,50,simulated_annealing,TravellingSales,299.2488464972864,0.007729053497314453
316,1250,50,genetic_alg,TravellingSales,306.48991016872753,2.2505948543548584
317,1250,50,mimic,TravellingSales,361.3418814771588,0.30605006217956543
318,1450,50,random_hill_climb,TravellingSales,296.7439694585101,0.07006120681762695
319,1450,50,simulated_annealing,TravellingSales,299.2488464972864,0.007784843444824219
320,1450,50,genetic_alg,TravellingSales,306.48991016872753,2.251845121383667
321,1450,50,mimic,TravellingSales,361.3418814771588,0.3082139492034912
322,1650,50,random_hill_climb,TravellingSales,296.7439694585101,0.06957292556762695
323,1650,50,simulated_annealing,TravellingSales,299.2488464972864,0.007752180099487305
324,1650,50,genetic_alg,TravellingSales,306.48991016872753,2.2558391094207764
325,1650,50,mimic,TravellingSales,361.3418814771588,0.30574703216552734
326,1850,50,random_hill_climb,TravellingSales,296.7439694585101,0.06871891021728516
327,1850,50,simulated_annealing,TravellingSales,299.2488464972864,0.007757902145385742
328,1850,50,genetic_alg,TravellingSales,306.48991016872753,2.260718822479248
329,1850,50,mimic,TravellingSales,361.3418814771588,0.3248560428619385
